,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
Revision:           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type:               ,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation
Start:              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Points:             ,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
Count:              ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XDispRange:         ,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07
XDispOrg:           ,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07
XInc:               ,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09
XOrg:               ,-6.63183170968E-07,-6.64236817397E-07,-6.62834840162E-07,-6.63956330586E-07,-6.64148734454E-07,-6.64517405537E-07,-6.62626991064E-07,-6.63223820286E-07,-6.63891929169E-07,-6.64593260280E-07,-6.63884354734E-07,-6.64664848220E-07,-6.62608213645E-07,-6.64838862583E-07,-6.63585874675E-07,-6.64277012045E-07
Units:              ,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second
XReference:         ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
YDispRange:         ,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00
YDispOrg:           ,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01
YInc:               ,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05
YOrg:               ,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01
Units:              ,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt
YReference:         ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Frame:              ,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128
Date:               ,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023
Time:               ,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19
Time Since Seg 1::  ,0.0E+00,2.14267E-03,3.00713E-03,1.34349E-02,1.36150E-02,1.37558E-02,1.73902E-02,2.60266E-02,3.64758E-02,3.85308E-02,3.90078E-02,4.06279E-02,4.15532E-02,4.80869E-02,5.10459E-02,6.15372E-02
Max Bandwidth:      ,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000
Min Bandwidth:      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time Tags (Channel 1),Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
-2.49433E-07, 3.74682E-03, 2.142423508E-03, 1.74291E-03, 3.006878114E-03, 4.08895E-03, 1.3434600734E-02, -9.6970E-04, 1.3614725942E-02, 3.20919E-03, 1.3755590789E-02, 2.25611E-03, 1.7389905925E-02, 1.22972E-03, 2.6026378081E-02, 3.74682E-03, 3.6475511082E-02, -1.43402E-03, 3.8530575733E-02, 3.64907E-03, 3.9007520955E-02, 1.15640E-03, 4.0627608371E-02, 6.48387E-03, 4.1553001070E-02, 2.03617E-03, 4.8086690788E-02, 5.26197E-03, 5.1045638108E-02, 2.76931E-03, 6.1536913325E-02, 2.72043E-03
-2.48808E-07, 3.62463E-03, 2.142424133E-03, 1.37634E-03, 3.006878739E-03, 5.09091E-03, 1.3434601359E-02, -1.662E-05, 1.3614726567E-02, 2.84262E-03, 1.3755591414E-02, 2.01173E-03, 1.7389906550E-02, 7.4096E-04, 2.6026378706E-02, 3.03812E-03, 3.6475511707E-02, -1.92278E-03, 3.8530576358E-02, 3.06256E-03, 3.9007521580E-02, 1.20528E-03, 4.0627608996E-02, 7.07038E-03, 4.1553001695E-02, 1.98729E-03, 4.8086691413E-02, 4.74878E-03, 5.1045638733E-02, 2.81818E-03, 6.1536913950E-02, 1.59629E-03
-2.48183E-07, 3.55132E-03, 2.142424758E-03, 9.8534E-04, 3.006879364E-03, 5.62854E-03, 1.3434601984E-02, 1.18084E-03, 1.3614727192E-02, 2.79374E-03, 1.3755592039E-02, 1.91398E-03, 1.7389907175E-02, 3.4995E-04, 2.6026379331E-02, 2.59824E-03, 3.6475512332E-02, -1.50733E-03, 3.8530576983E-02, 2.15836E-03, 3.9007522205E-02, 1.84066E-03, 4.0627609621E-02, 7.31476E-03, 4.1553002320E-02, 1.59629E-03, 4.8086692038E-02, 4.23558E-03, 5.1045639358E-02, 2.74487E-03, 6.1536914575E-02, 1.03421E-03
-2.47558E-07, 3.35582E-03, 2.142425383E-03, 6.1877E-04, 3.006879989E-03, 5.55523E-03, 1.3434602609E-02, 2.23167E-03, 1.3614727817E-02, 3.03812E-03, 1.3755592664E-02, 1.91398E-03, 1.7389907800E-02, 1.5445E-04, 2.6026379956E-02, 2.47605E-03, 3.6475512957E-02, -3.3431E-04, 3.8530577608E-02, 1.08309E-03, 3.9007522830E-02, 3.01369E-03, 4.0627610246E-02, 7.14369E-03, 4.1553002945E-02, 9.8534E-04, 4.8086692663E-02, 3.67351E-03, 5.1045639983E-02, 2.69599E-03, 6.1536915200E-02, 1.15640E-03
-2.46933E-07, 3.11144E-03, 2.142426008E-03, 5.6989E-04, 3.006880614E-03, 4.94428E-03, 1.3434603234E-02, 2.86706E-03, 1.3614728442E-02, 3.52688E-03, 1.3755593289E-02, 2.03617E-03, 1.7389908425E-02, 2.7664E-04, 2.6026380581E-02, 2.64712E-03, 3.6475513582E-02, 1.35191E-03, 3.8530578233E-02, 2.0332E-04, 3.9007523455E-02, 4.50440E-03, 4.0627610871E-02, 6.50831E-03, 4.1553003570E-02, 3.9883E-04, 4.8086693288E-02, 3.23363E-03, 5.1045640608E-02, 2.79374E-03, 6.1536915825E-02, 1.88954E-03
-2.46308E-07, 2.72043E-03, 2.142426633E-03, 6.9208E-04, 3.006881239E-03, 3.84457E-03, 1.3434603859E-02, 2.89150E-03, 1.3614729067E-02, 3.86901E-03, 1.3755593914E-02, 2.03617E-03, 1.7389909050E-02, 4.9658E-04, 2.6026381206E-02, 2.86706E-03, 3.6475514207E-02, 3.03812E-03, 3.8530578858E-02, -3.5875E-04, 3.9007524080E-02, 5.89736E-03, 4.0627611496E-02, 5.31085E-03, 4.1553004195E-02, 5.670E-05, 4.8086693913E-02, 2.81818E-03, 5.1045641233E-02, 3.06256E-03, 6.1536916450E-02, 2.96481E-03
-2.45683E-07, 2.45161E-03, 2.142427258E-03, 1.18084E-03, 3.006881864E-03, 2.64712E-03, 1.3434604484E-02, 2.57380E-03, 1.3614729692E-02, 3.99120E-03, 1.3755594539E-02, 1.96285E-03, 1.7389909675E-02, 8.6315E-04, 2.6026381831E-02, 3.16031E-03, 3.6475514832E-02, 4.52884E-03, 3.8530579483E-02, -2.8544E-04, 3.9007524705E-02, 7.09482E-03, 4.0627612121E-02, 3.79570E-03, 4.1553004820E-02, 2.7664E-04, 4.8086694538E-02, 2.72043E-03, 5.1045641858E-02, 3.60020E-03, 6.1536917075E-02, 4.28446E-03
-2.45058E-07, 2.45161E-03, 2.142427883E-03, 1.81623E-03, 3.006882489E-03, 1.59629E-03, 1.3434605109E-02, 2.10948E-03, 1.3614730317E-02, 3.72239E-03, 1.3755595164E-02, 1.66960E-03, 1.7389910300E-02, 1.22972E-03, 2.6026382456E-02, 3.33138E-03, 3.6475515457E-02, 5.50635E-03, 3.8530580108E-02, 3.2551E-04, 3.9007525330E-02, 7.80352E-03, 4.0627612746E-02, 2.13392E-03, 4.1553005445E-02, 1.03421E-03, 4.8086695163E-02, 2.94037E-03, 5.1045642483E-02, 4.21114E-03, 6.1536917700E-02, 5.55523E-03
-2.44433E-07, 2.79374E-03, 2.142428508E-03, 2.47605E-03, 3.006883114E-03, 8.8759E-04, 1.3434605734E-02, 1.84066E-03, 1.3614730942E-02, 3.08700E-03, 1.3755595789E-02, 1.18084E-03, 1.7389910925E-02, 1.54741E-03, 2.6026383081E-02, 3.40469E-03, 3.6475516082E-02, 5.87292E-03, 3.8530580733E-02, 1.32747E-03, 3.9007525955E-02, 7.97458E-03, 4.0627613371E-02, 6.6764E-04, 4.1553006070E-02, 2.23167E-03, 4.8086695788E-02, 3.50244E-03, 5.1045643108E-02, 4.74878E-03, 6.1536918325E-02, 6.58162E-03
-2.43808E-07, 3.33138E-03, 2.142429133E-03, 2.86706E-03, 3.006883739E-03, 4.2326E-04, 1.3434606359E-02, 1.74291E-03, 1.3614731567E-02, 2.10948E-03, 1.3755596414E-02, 3.9883E-04, 1.7389911550E-02, 1.59629E-03, 2.6026383706E-02, 3.23363E-03, 3.6475516707E-02, 5.53079E-03, 3.8530581358E-02, 2.20723E-03, 3.9007526580E-02, 7.46139E-03, 4.0627613996E-02, -5.7869E-04, 4.1553006695E-02, 3.35582E-03, 4.8086696413E-02, 4.16227E-03, 5.1045643733E-02, 4.84653E-03, 6.1536918950E-02, 7.09482E-03
