,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
Revision:           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type:               ,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation
Start:              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Points:             ,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
Count:              ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XDispRange:         ,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07
XDispOrg:           ,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07
XInc:               ,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09
XOrg:               ,-6.61697936455E-07,-6.62051769569E-07,-6.60552068312E-07,-6.62159508754E-07,-6.62355828469E-07,-6.60745006723E-07,-6.60479403181E-07,-6.61159856612E-07,-6.60336003900E-07,-6.61584114643E-07,-6.60618349689E-07,-6.61775154736E-07,-6.60485940003E-07,-6.61962334773E-07,-6.60430916685E-07,-6.60583696927E-07
Units:              ,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second
XReference:         ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
YDispRange:         ,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00
YDispOrg:           ,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01,-4.04000014066696E-01
YInc:               ,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05
YOrg:               ,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01,-4.03217986314761E-01
Units:              ,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt
YReference:         ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Frame:              ,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128
Date:               ,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023,6 MAR 2023
Time:               ,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19,21:07:19
Time Since Seg 1::  ,0.0E+00,1.17732E+00,1.25259E+00,1.43373E+00,2.13982E+00,2.27799E+00,2.48133E+00,2.79284E+00,2.99969E+00,4.70352E+00,5.16084E+00,5.78857E+00,6.47698E+00,6.81825E+00,6.81914E+00,6.85824E+00
Max Bandwidth:      ,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000
Min Bandwidth:      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time Tags (Channel 1),Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
-2.49823E-07, 1.47410E-03, 1.177316214725E+00, 4.65103E-03, 1.252588052582E+00, 1.15640E-03, 1.433732877300E+00, 2.69599E-03, 2.139817337205E+00, -9.6970E-04, 2.277992952282E+00, 1.47410E-03, 2.481327842221E+00, 5.4545E-04, 2.792842004639E+00, 1.05865E-03, 2.999686599791E+00, -1.65396E-03, 4.703516429852E+00, -5.2981E-04, 5.160836172418E+00, 2.23167E-03, 5.788569839739E+00, 3.16031E-03, 6.476983497434E+00, 7.14369E-03, 6.818252292294E+00, 3.64907E-03, 6.819137394966E+00, 3.55132E-03, 6.858243607312E+00, 3.47801E-03
-2.49198E-07, 1.37634E-03, 1.177316215350E+00, 4.69990E-03, 1.252588053207E+00, 1.47410E-03, 1.433732877925E+00, 2.91593E-03, 2.139817337830E+00, 7.6540E-04, 2.277992952907E+00, 5.9433E-04, 2.481327842846E+00, 7.82E-06, 2.792842005264E+00, -6.549E-05, 2.999686600416E+00, -1.11632E-03, 4.703516430477E+00, -4.8094E-04, 5.160836173043E+00, 2.03617E-03, 5.788569840364E+00, 3.99120E-03, 6.476983498059E+00, 5.38416E-03, 6.818252292919E+00, 4.94428E-03, 6.819137395591E+00, 4.30890E-03, 6.858243607937E+00, 3.69795E-03
-2.48573E-07, 1.44966E-03, 1.177316215975E+00, 4.30890E-03, 1.252588053832E+00, 1.57185E-03, 1.433732878550E+00, 2.81818E-03, 2.139817338455E+00, 2.20723E-03, 2.277992953532E+00, -2.8544E-04, 2.481327843471E+00, -5.7869E-04, 2.792842005889E+00, -7.4976E-04, 2.999686601041E+00, -3.5875E-04, 4.703516431102E+00, -4.5650E-04, 5.160836173668E+00, 2.32942E-03, 5.788569840989E+00, 4.89541E-03, 6.476983498684E+00, 3.55132E-03, 6.818252293544E+00, 6.04399E-03, 6.819137396216E+00, 5.09091E-03, 6.858243608562E+00, 3.30694E-03
-2.47948E-07, 1.71848E-03, 1.177316216600E+00, 3.57576E-03, 1.252588054457E+00, 1.49853E-03, 1.433732879175E+00, 2.40274E-03, 2.139817339080E+00, 3.08700E-03, 2.277992954157E+00, -9.2082E-04, 2.481327844096E+00, -9.2082E-04, 2.792842006514E+00, -8.7195E-04, 2.999686601666E+00, 5.2102E-04, 4.703516431727E+00, -2.6100E-04, 5.160836174293E+00, 2.96481E-03, 5.788569841614E+00, 5.77517E-03, 6.476983499309E+00, 2.20723E-03, 6.818252294169E+00, 6.92375E-03, 6.819137396841E+00, 5.60411E-03, 6.858243609187E+00, 2.42717E-03
-2.47323E-07, 1.91398E-03, 1.177316217225E+00, 2.50049E-03, 1.252588055082E+00, 1.18084E-03, 1.433732879800E+00, 1.62072E-03, 2.139817339705E+00, 3.13587E-03, 2.277992954782E+00, -1.21408E-03, 2.481327844721E+00, -9.6970E-04, 2.792842007139E+00, -7.0088E-04, 2.999686602291E+00, 1.15640E-03, 4.703516432352E+00, 7.82E-06, 5.160836174918E+00, 3.47801E-03, 5.788569842239E+00, 6.26393E-03, 6.476983499934E+00, 1.57185E-03, 6.818252294794E+00, 7.43695E-03, 6.819137397466E+00, 5.43304E-03, 6.858243609812E+00, 1.00978E-03
-2.46698E-07, 2.03617E-03, 1.177316217850E+00, 1.42522E-03, 1.252588055707E+00, 9.3646E-04, 1.433732880425E+00, 8.1427E-04, 2.139817340330E+00, 2.62268E-03, 2.277992955407E+00, -8.9638E-04, 2.481327845346E+00, -3.5875E-04, 2.792842007764E+00, -3.0987E-04, 2.999686602916E+00, 1.54741E-03, 4.703516432977E+00, 5.6989E-04, 5.160836175543E+00, 3.69795E-03, 5.788569842864E+00, 6.38612E-03, 6.476983500559E+00, 1.79179E-03, 6.818252295419E+00, 7.75464E-03, 6.819137398091E+00, 4.57771E-03, 6.858243610437E+00, -5.0538E-04
-2.46073E-07, 1.91398E-03, 1.177316218475E+00, 4.9658E-04, 1.252588056332E+00, 8.3871E-04, 1.433732881050E+00, 2.7664E-04, 2.139817340955E+00, 1.71848E-03, 2.277992956032E+00, 7.82E-06, 2.481327845971E+00, 8.6315E-04, 2.792842008389E+00, 8.113E-05, 2.999686603541E+00, 1.57185E-03, 4.703516433602E+00, 1.25415E-03, 5.160836176168E+00, 3.40469E-03, 5.788569843489E+00, 6.09286E-03, 6.476983501184E+00, 2.67155E-03, 6.818252296044E+00, 7.80352E-03, 6.819137398716E+00, 3.06256E-03, 6.858243611062E+00, -1.82502E-03
-2.45448E-07, 1.64516E-03, 1.177316219100E+00, 7.82E-06, 1.252588056957E+00, 1.05865E-03, 1.433732881675E+00, 2.2776E-04, 2.139817341580E+00, 7.4096E-04, 2.277992956657E+00, 1.35191E-03, 2.481327846596E+00, 2.59824E-03, 2.792842009014E+00, 4.2326E-04, 2.999686604166E+00, 1.37634E-03, 4.703516434227E+00, 2.03617E-03, 5.160836176793E+00, 2.69599E-03, 5.788569844114E+00, 5.48192E-03, 6.476983501809E+00, 3.84457E-03, 6.818252296669E+00, 7.58358E-03, 6.819137399341E+00, 1.25415E-03, 6.858243611687E+00, -2.63148E-03
-2.44823E-07, 1.18084E-03, 1.177316219725E+00, -1.1437E-04, 1.252588057582E+00, 1.47410E-03, 1.433732882300E+00, 5.9433E-04, 2.139817342205E+00, -2.3656E-04, 2.277992957282E+00, 2.72043E-03, 2.481327847221E+00, 4.38221E-03, 2.792842009639E+00, 5.4545E-04, 2.999686604791E+00, 9.6090E-04, 4.703516434852E+00, 2.52493E-03, 5.160836177418E+00, 1.66960E-03, 5.788569844739E+00, 4.60215E-03, 6.476983502434E+00, 4.74878E-03, 6.818252297294E+00, 6.85044E-03, 6.819137399966E+00, -5.0538E-04, 6.858243612312E+00, -2.90029E-03
-2.44198E-07, 9.3646E-04, 1.177316220350E+00, 3.0108E-04, 1.252588058207E+00, 2.18280E-03, 1.433732882925E+00, 1.37634E-03, 2.139817342830E+00, -9.2082E-04, 2.277992957907E+00, 3.84457E-03, 2.481327847846E+00, 6.01955E-03, 2.792842010264E+00, 6.4321E-04, 2.999686605416E+00, 7.1652E-04, 4.703516435477E+00, 2.79374E-03, 5.160836178043E+00, 8.1427E-04, 5.788569845364E+00, 3.79570E-03, 6.476983503059E+00, 5.18866E-03, 6.818252297919E+00, 5.77517E-03, 6.819137400591E+00, -1.55621E-03, 6.858243612937E+00, -2.48485E-03
